Str_Nr,DTV_Kfz_W_Q,DTV_SV_W_Q,pSV_W_Q
6,41.886709090909086,79.07076161616162,20.994646464646465
9,58.19275415896488,58.18025046210721,16.191219963031426
93,38.718350649350654,72.03408225108225,17.46969696969697
