Str_Nr,Average_Traffic,Maximum,Minimum,Std
6,42.030972522080475,103.735,2.478,24.445102926710607
9,59.495539207048466,161.527,3.32,34.91998436024251
93,38.65675,75.655,5.374,18.81372146692797
